Institution,Program,Degree Type,Country,Decision,Notification Date,Notification Method,Undergrad GPA,GRE General,GRE Verbal,Analytical Writing,Notes,Details URL
Arizona State University,Psychology,PhD,International,Rejected,on 08/03/2024,E-mail,0.0,0,0,0.0,rejected via email.,https://www.thegradcafe.com/result/930623
Arizona State University,Psychology,PhD,American,Interview,on 09/12/2023,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/915032
Arizona State University,Robotics And Automation Engineering,PhD,International,Accepted,on 14/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/904949
Arizona State University,Robotics And Autonomous Systems,PhD,International,Accepted,on 04/03/2024,E-mail,3.41,0,0,0.0,,https://www.thegradcafe.com/result/935993
Arizona State University,Social Psychology,PhD,International,Rejected,on 23/12/2024,E-mail,0.0,0,0,0.0,Received an email from the PI directly notifying about the (pre-) interview.,https://www.thegradcafe.com/result/940122
Arizona State University,Social Psychology,PhD,International,Interview,on 20/12/2024,E-mail,0.0,0,0,0.0,Received an email from the PI directly notifying about the (pre-) interview.,https://www.thegradcafe.com/result/940120
Arizona State University,Social Psychology,PhD,International,Interview,on 17/12/2024,E-mail,0.0,0,0,0.0,Received an email from the PI directly notifying about the (pre-) interview.,https://www.thegradcafe.com/result/940118
Arizona State University,Social Psychology,PhD,International,Accepted,on 14/03/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/932906
Arizona State University,Sociology,PhD,American,Wait listed,on 19/12/2024,E-mail,3.37,0,0,0.0,,https://www.thegradcafe.com/result/940051
Arizona State University,Sociology,PhD,International,Wait listed,on 15/02/2024,E-mail,0.0,0,0,0.0,"Ignore Status. I know that one person has already posted on gradcafe that received an offer from ASU in December 2023, and another person said he was waitlisted by ASU, has anyone else received any information from ASU? I didn't get any useful information from ASU",https://www.thegradcafe.com/result/919593
Arizona State University,Sociology,PhD,International,Wait listed,on 13/02/2024,E-mail,0.0,0,0,0.0,"Not sure how I feel about this. No single update since application closed. I had to reach out to them and chase for response. Not happy about that, at all.  2a/2r/ 1w/2p",https://www.thegradcafe.com/result/917847
Arizona State University,Sociology,PhD,American,Accepted,on 12/12/2023,E-mail,0.0,0,0,0.0,ASU is a perfect research match but unfortunately the funding offer is pretty low.,https://www.thegradcafe.com/result/913824
Arizona State University,Speech And Hearing Neuroscience,PhD,American,Accepted,on 12/01/2024,E-mail,3.97,0,0,0.0,super excited about this!,https://www.thegradcafe.com/result/904631
Arizona State University,Statistics,PhD,International,Accepted,on 27/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/925355
Arizona State University,Statistics,PhD,International,Accepted,on 19/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/909076
Arizona State University,Sustainability,PhD,American,Rejected,on 07/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/914636
Arizona State University,Transborder Studies,PhD,American,Accepted,on 08/02/2024,E-mail,3.56,0,0,0.0,No GRE. Master's GPA. Sent email around 11 pm about acceptance. 1a/1r/0w/5p,https://www.thegradcafe.com/result/915758
Arizona State University,Urban Planning,PhD,International,Rejected,on 09/02/2024,Website,3.3,0,0,0.0,"TOEFL waived, GRE optional, MS GPA: 3.80/4.00, rejected by commitee before circulated to faculty, no email for now and just checked the application portal yesterday.",https://www.thegradcafe.com/result/916641
Arizona State University,Urban Planning,PhD,International,Accepted,on 07/02/2024,Website,3.89,0,0,0.0,Via website. GPA is MUP.,https://www.thegradcafe.com/result/914827
Bangladesh University Of Engineering And Technology,Civil En,PhD,International,Accepted,on 28/04/2024,E-mail,3.5,168,164,4.5,,https://www.thegradcafe.com/result/937999
Barcelona School Of Economics,Economics,PhD,International,Rejected,on 06/02/2024,E-mail,0.0,165,165,5.0,PhD track masters program. Disappointed.,https://www.thegradcafe.com/result/914026
Barcelona School Of Economics,Economics,PhD,International,Rejected,on 06/02/2024,E-mail,0.0,165,0,0.0,,https://www.thegradcafe.com/result/913916
Barcelona School Of Economics,Economics,PhD,American,Rejected,on 06/02/2024,E-mail,3.71,167,161,5.0,,https://www.thegradcafe.com/result/913838
Barcelona School Of Economics,Economics,PhD,International,Rejected,on 06/02/2024,E-mail,3.89,170,167,5.0,Straight rejection.. :/,https://www.thegradcafe.com/result/913676
Barcelona School Of Economics,Economics,PhD,International,Rejected,on 06/02/2024,E-mail,3.6,165,155,4.0,,https://www.thegradcafe.com/result/913666
Barcelona School Of Economics (UPF),Economics,PhD,International,Accepted,on 22/02/2024,E-mail,3.95,170,161,5.0,Fully funded offer including first year. Will reject by tomorrow since I have dominating offers. Good luck to those waitlisted for funding!,https://www.thegradcafe.com/result/923145
Boston College,Accounting,PhD,International,Interview,on 24/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/908895
Boston College,Applied Developmental And Educational Psychology,PhD,International,Accepted,on 09/02/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/916219
Boston College,Applied Developmental And Educational Psychology,PhD,International,Interview,on 12/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/907497
Boston College,Applied Developmental And Educational Psychology,PhD,International,Interview,on 12/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/905573
Boston College,Biology,PhD,American,Interview,on 18/12/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/940134
Boston College,Biology,PhD,American,Accepted,on 31/01/2024,Phone,3.85,0,0,0.0,Phone call and then email with status update! Good luck to everyone else with this crazy grad app process!,https://www.thegradcafe.com/result/910796
Boston College,Biology,PhD,American,Accepted,on 31/01/2024,Website,3.81,0,0,0.0,Decision update on application portal,https://www.thegradcafe.com/result/910626
Boston College,Biology,PhD,International,Rejected,on 02/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/903087
Boston College,Biology,PhD,International,Interview,on 19/12/2023,Phone,0.0,0,0,0.0,,https://www.thegradcafe.com/result/902325
Boston College,Biology,PhD,International,Interview,on 20/12/2023,Phone,3.81,0,0,0.0,"2.5 years research experience undergrad + postbac, 1 publication, 1 presentation at conference",https://www.thegradcafe.com/result/902236
Boston College,Cell And Developmental Biology,PhD,American,Accepted,on 02/02/2024,E-mail,3.5,0,0,0.0,,https://www.thegradcafe.com/result/938244
Boston College,Chemistry,PhD,International,Accepted,on 30/01/2024,E-mail,3.86,0,0,0.0,"organic, no GRE",https://www.thegradcafe.com/result/931384
Boston College,Chemistry,PhD,American,Accepted,on 25/01/2024,E-mail,3.77,0,0,0.0,Email to check portal,https://www.thegradcafe.com/result/909856
Boston College,Chemistry,PhD,International,Accepted,on 25/01/2024,E-mail,3.67,0,0,0.0,Organic track with 1.5 year of research experiences in synthetic methodology,https://www.thegradcafe.com/result/908726
Boston College,Chemistry,PhD,American,Accepted,on 25/01/2024,E-mail,3.73,0,0,0.0,,https://www.thegradcafe.com/result/908515
Boston College,Counseling Psychology,PhD,American,Rejected,on 29/02/2024,Website,3.85,0,0,0.0,"I was rejected from the PhD program, but I was offered admission into the M.A. program! I've heard this year was a tough combination of budget cuts and competition.",https://www.thegradcafe.com/result/926896
Boston College,Counseling Psychology,PhD,American,Wait listed,on 13/02/2024,E-mail,0.0,0,0,0.0,IGNORE STATUS - has anyone heard back from them post-interview day?,https://www.thegradcafe.com/result/918071
Boston College,Counseling Psychology,PhD,American,Rejected,on 23/01/2024,E-mail,0.0,0,0,0.0,"Contacted POI was notified all final interviews have been sent out and completed, if you haven't hears anything you were not selected to move on in the process.",https://www.thegradcafe.com/result/907601
Boston College,Counseling Psychology,PhD,International,Interview,on 10/01/2024,E-mail,0.0,0,0,0.0,Received an initial interview,https://www.thegradcafe.com/result/905205
Boston College,Curriculum And Instruction,PhD,International,Accepted,on 06/02/2024,E-mail,0.0,0,0,0.0,I was interviewed on Jan 23rd and received my acceptance email on Feb 6th.,https://www.thegradcafe.com/result/915081
Boston College,Earth And Environmental Science,PhD,American,Accepted,on 22/01/2024,Phone,3.8,0,0,0.0,I am thrilled about this opportunity -- BC is my top school! Best of luck to everyone else applying :),https://www.thegradcafe.com/result/907543
Boston College,Economics,PhD,International,Accepted,on 15/04/2024,E-mail,0.0,0,0,0.0,From the waitlist. Five hours to decide. What a mess.,https://www.thegradcafe.com/result/937319
Boston College,Economics,PhD,International,Accepted,on 03/03/2024,E-mail,0.0,0,0,0.0,Just declined this offer. Good luck to those waitlisted!,https://www.thegradcafe.com/result/936961
Boston College,Economics,PhD,International,Wait listed,on 14/03/2024,Other,0.0,0,0,0.0,"Is there anyone who do not receive any update from BC? With all the offers, waitlists, and rejections posted on gc, the university still tell me to wait for the update. Not sure if it is an implicit rej... Should I still have hope for the result?",https://www.thegradcafe.com/result/932366
Boston College,Economics,PhD,International,Rejected,on 12/03/2024,Website,0.0,0,0,0.0,Email to check portal,https://www.thegradcafe.com/result/931552
Boston College,Economics,PhD,American,Rejected,on 12/03/2024,Website,0.0,0,0,0.0,"Checked portal, no email",https://www.thegradcafe.com/result/931506
Boston College,Economics,PhD,International,Rejected,on 11/03/2024,E-mail,3.8,169,0,0.0,Email to check portal.,https://www.thegradcafe.com/result/931132
Boston College,Economics,PhD,International,Rejected,on 11/03/2024,Website,0.0,167,0,0.0,,https://www.thegradcafe.com/result/931079
Boston College,Economics,PhD,International,Wait listed,on 08/03/2024,E-mail,3.85,168,0,0.0,GPA is grad.,https://www.thegradcafe.com/result/930909
Boston College,Economics,PhD,International,Wait listed,on 09/03/2024,E-mail,0.0,0,0,0.0,Email from department chair. Fingers crossed.,https://www.thegradcafe.com/result/930690
Boston College,Economics,PhD,International,Wait listed,on 08/03/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/930451
Boston College,Economics,PhD,American,Accepted,on 07/03/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/929723
Boston College,Economics,PhD,American,Accepted,on 07/03/2024,E-mail,3.71,170,162,6.0,Email notification.,https://www.thegradcafe.com/result/929703
Boston College,Economics,PhD,International,Accepted,on 06/03/2024,E-mail,0.0,0,0,0.0,will decline,https://www.thegradcafe.com/result/929185
Boston College,Economics,PhD,American,Wait listed,on 24/02/2024,POST,0.0,0,0,0.0,IGNORE STATUS! Has anyone heard anything from BC regarding Economics decisions? at a 0a/4r/5apps rate right now looking for anything to cling to!,https://www.thegradcafe.com/result/924395
Boston College,English,PhD,American,Wait listed,on 19/01/2024,E-mail,4.0,0,0,0.0,,https://www.thegradcafe.com/result/922048
Boston College,English,PhD,American,Rejected,on 19/01/2024,Website,3.91,0,0,0.0,,https://www.thegradcafe.com/result/920936
Boston College,English,PhD,American,Interview,on 12/02/2024,Other,0.0,0,0,0.0,"Ignore status, has anyone heard from the school?",https://www.thegradcafe.com/result/917186
Boston College,English,PhD,American,Rejected,on 19/01/2024,Other,3.92,0,0,0.0,"Email to check portal. My research wasn't really prevalent at BC, so I'm not too surprised. GPA is Master's",https://www.thegradcafe.com/result/910719
Boston College,English,PhD,American,Rejected,on 29/01/2024,E-mail,4.0,0,0,0.0,GPA is MA. 0a/1w/1r/9p,https://www.thegradcafe.com/result/909845
Boston College,English,PhD,International,Rejected,on 19/01/2024,E-mail,4.0,0,0,0.0,GPA is from MA.,https://www.thegradcafe.com/result/907092
Boston College,English,PhD,American,Rejected,on 20/01/2024,E-mail,3.7,0,0,0.0,2 MA's - but not a great research fit.,https://www.thegradcafe.com/result/906810
Boston College,English,PhD,American,Accepted,on 19/01/2024,E-mail,0.0,0,0,0.0,,https://www.thegradcafe.com/result/906686
